,bhk,locality,sqft,price_per_sqft,bath,Price_Lakhs,Build_year,Age
2250,2,Baner,1150,10000,2.0,114.99999999999999,2016.0,-5.0
2251,2,Baner,1200,7500,2.0,90.0,2016.0,-5.0
2252,2,Baner,1100,8454,2.0,93.0,2011.0,-10.0
2253,2,Balewadi,1050,10666,2.0,112.00000000000001,2013.0,-8.0
2256,2,Wagholi,1023,4418,2.0,45.2,2017.0,-4.0
2257,2,Wagholi,1012,4466,2.0,45.2,2017.0,-4.0
2260,2,Wagholi,956,4628,2.0,44.25,2025.0,4.0
2261,2,Wagholi,865,4624,2.0,40.0,2024.0,3.0
2263,2,Wagholi,985,4588,2.0,45.2,2024.0,3.0
2264,2,Wagholi,852,4639,2.0,39.52,2024.0,3.0
2270,2,Wakad,950,6947,2.0,66.0,2019.0,-2.0
2273,3,Hinjewadi,1300,8846,2.0,114.99999999999999,2013.0,-8.0
2274,2,Sus,970,6701,2.0,65.0,2016.0,-5.0
2275,3,Ravet,1398,5454,3.0,76.25,2024.0,3.0
2277,1,Sunarwadi,614,7328,1.0,45.0,2018.0,-3.0
2280,3,Baner,1700,8823,3.0,150.0,2019.0,-2.0
2281,2,Balewadi,1092,7326,2.0,80.0,2008.0,-13.0
2282,2,Wagholi,854,4510,2.0,38.52,2024.0,3.0
2283,1,Hadapsar,711,4008,2.0,28.5,2014.0,-7.0
2284,2,Hadapsar,887,4453,2.0,39.5,2014.0,-7.0
2285,3,Hadapsar,1200,5625,2.0,67.5,2014.0,-7.0
2287,2,Mundhwa,1050,6285,2.0,66.0,2025.0,4.0
2288,2,Wagholi,1050,4190,2.0,44.0,2025.0,4.0
2289,2,Wagholi,930,4838,2.0,45.0,2025.0,4.0
2290,1,Wagholi,780,4384,1.0,34.2,2017.0,-4.0
2291,2,Wagholi,900,5055,2.0,45.5,2020.0,-1.0
2294,1,Thergaon,610,6475,1.0,39.5,2017.0,-4.0
2295,1,Pirangut,760,3684,2.0,28.0,2018.0,-3.0
2297,2,Hadapsar,889,6186,2.0,55.0,2014.0,-7.0
2299,2,Handewadi,950,4000,2.0,38.0,2015.0,-6.0
2303,1,Ambegaon Budruk,420,5714,1.0,24.0,2025.0,4.0
2304,2,Mundhwa,1100,7272,2.0,80.0,2018.0,-3.0
2305,2,Hinjewadi,1300,7192,2.0,93.5,2014.0,-7.0
